GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOIE001,NAME_M,JOIM001
"G0500130","2006-2010",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",32450,"Calhoun County, Arkansas",3981
"G0500150","2006-2010",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",34235,"Carroll County, Arkansas",2677
"G0500170","2006-2010",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",21676,"Chicot County, Arkansas",2175
"G0500190","2006-2010",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",31968,"Clark County, Arkansas",3369
"G0500210","2006-2010",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",29066,"Clay County, Arkansas",2817
"G0500230","2006-2010",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",35753,"Cleburne County, Arkansas",2697
"G0500250","2006-2010",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",36957,"Cleveland County, Arkansas",6126
"G0500270","2006-2010",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",35148,"Columbia County, Arkansas",3134
"G0500290","2006-2010",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",32700,"Conway County, Arkansas",3265
"G0500310","2006-2010",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",39233,"Craighead County, Arkansas",1612
"G0500330","2006-2010",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",40197,"Crawford County, Arkansas",2040
"G0500350","2006-2010",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",33716,"Crittenden County, Arkansas",1384
"G0500370","2006-2010",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",37021,"Cross County, Arkansas",2060
"G0500390","2006-2010",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",29602,"Dallas County, Arkansas",2865
"G0500410","2006-2010",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",29051,"Desha County, Arkansas",3170
"G0500430","2006-2010",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",32558,"Drew County, Arkansas",2922
