STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
13,21,Georgia,Bibb County,2000,153887,GA
13,23,Georgia,Bleckley County,2000,11666,GA
13,25,Georgia,Brantley County,2000,14629,GA
13,27,Georgia,Brooks County,2000,16450,GA
13,29,Georgia,Bryan County,2000,23417,GA
13,31,Georgia,Bulloch County,2000,55983,GA
13,33,Georgia,Burke County,2000,22243,GA
13,35,Georgia,Butts County,2000,19522,GA
13,37,Georgia,Calhoun County,2000,6320,GA
13,39,Georgia,Camden County,2000,43664,GA
13,43,Georgia,Candler County,2000,9577,GA
13,45,Georgia,Carroll County,2000,87268,GA
13,47,Georgia,Catoosa County,2000,53282,GA
13,49,Georgia,Charlton County,2000,10282,GA
13,51,Georgia,Chatham County,2000,232048,GA
13,53,Georgia,Chattahoochee County,2000,14882,GA
13,55,Georgia,Chattooga County,2000,25470,GA
13,57,Georgia,Cherokee County,2000,141903,GA
13,59,Georgia,Clarke County,2000,101489,GA
13,61,Georgia,Clay County,2000,3357,GA
13,63,Georgia,Clayton County,2000,236517,GA
13,65,Georgia,Clinch County,2000,6878,GA
13,67,Georgia,Cobb County,2000,607751,GA
13,69,Georgia,Coffee County,2000,37413,GA
13,71,Georgia,Colquitt County,2000,42053,GA
13,73,Georgia,Columbia County,2000,89288,GA
13,75,Georgia,Cook County,2000,15771,GA
13,77,Georgia,Coweta County,2000,89215,GA
13,79,Georgia,Crawford County,2000,12495,GA
13,81,Georgia,Crisp County,2000,21996,GA
13,83,Georgia,Dade County,2000,15154,GA
13,85,Georgia,Dawson County,2000,15999,GA
13,87,Georgia,Decatur County,2000,28240,GA
13,89,Georgia,DeKalb County,2000,665865,GA
13,91,Georgia,Dodge County,2000,19171,GA
13,93,Georgia,Dooly County,2000,11525,GA
13,95,Georgia,Dougherty County,2000,96065,GA
13,97,Georgia,Douglas County,2000,92174,GA
13,99,Georgia,Early County,2000,12354,GA
13,101,Georgia,Echols County,2000,3754,GA
13,103,Georgia,Effingham County,2000,37535,GA
13,105,Georgia,Elbert County,2000,20511,GA
13,107,Georgia,Emanuel County,2000,21837,GA
13,109,Georgia,Evans County,2000,10495,GA
13,111,Georgia,Fannin County,2000,19798,GA
13,113,Georgia,Fayette County,2000,91263,GA
13,115,Georgia,Floyd County,2000,90565,GA
13,117,Georgia,Forsyth County,2000,98407,GA
13,119,Georgia,Franklin County,2000,20285,GA
13,121,Georgia,Fulton County,2000,816006,GA
13,123,Georgia,Gilmer County,2000,23456,GA
13,125,Georgia,Glascock County,2000,2556,GA
13,127,Georgia,Glynn County,2000,67568,GA
13,129,Georgia,Gordon County,2000,44104,GA
13,131,Georgia,Grady County,2000,23659,GA
13,133,Georgia,Greene County,2000,14406,GA
13,135,Georgia,Gwinnett County,2000,588448,GA
13,137,Georgia,Habersham County,2000,35902,GA
13,139,Georgia,Hall County,2000,139277,GA
13,141,Georgia,Hancock County,2000,10076,GA
13,143,Georgia,Haralson County,2000,25690,GA
13,145,Georgia,Harris County,2000,23695,GA
13,147,Georgia,Hart County,2000,22997,GA
13,149,Georgia,Heard County,2000,11012,GA
13,151,Georgia,Henry County,2000,119341,GA
13,153,Georgia,Houston County,2000,110765,GA
13,155,Georgia,Irwin County,2000,9931,GA
13,157,Georgia,Jackson County,2000,41589,GA
13,159,Georgia,Jasper County,2000,11426,GA
13,161,Georgia,Jeff Davis County,2000,12684,GA
13,163,Georgia,Jefferson County,2000,17266,GA
13,165,Georgia,Jenkins County,2000,8575,GA
13,167,Georgia,Johnson County,2000,8560,GA
13,169,Georgia,Jones County,2000,23639,GA
13,171,Georgia,Lamar County,2000,15912,GA
13,173,Georgia,Lanier County,2000,7241,GA
13,175,Georgia,Laurens County,2000,44874,GA
13,177,Georgia,Lee County,2000,24757,GA
13,179,Georgia,Liberty County,2000,61610,GA
13,181,Georgia,Lincoln County,2000,8348,GA
13,183,Georgia,Long County,2000,10304,GA
13,185,Georgia,Lowndes County,2000,92115,GA
13,187,Georgia,Lumpkin County,2000,21016,GA
13,189,Georgia,McDuffie County,2000,21231,GA
13,191,Georgia,McIntosh County,2000,10847,GA
13,193,Georgia,Macon County,2000,14074,GA
13,195,Georgia,Madison County,2000,25730,GA
13,197,Georgia,Marion County,2000,7144,GA
13,199,Georgia,Meriwether County,2000,22534,GA
13,201,Georgia,Miller County,2000,6383,GA
13,205,Georgia,Mitchell County,2000,23932,GA
13,207,Georgia,Monroe County,2000,21757,GA
13,209,Georgia,Montgomery County,2000,8270,GA
13,211,Georgia,Morgan County,2000,15457,GA
13,213,Georgia,Murray County,2000,36506,GA
13,215,Georgia,Muscogee County,2000,186291,GA
13,217,Georgia,Newton County,2000,62001,GA
13,219,Georgia,Oconee County,2000,26225,GA
13,221,Georgia,Oglethorpe County,2000,12635,GA
13,223,Georgia,Paulding County,2000,81678,GA
13,225,Georgia,Peach County,2000,23668,GA
13,227,Georgia,Pickens County,2000,22983,GA
13,229,Georgia,Pierce County,2000,15636,GA
13,231,Georgia,Pike County,2000,13688,GA
13,233,Georgia,Polk County,2000,38127,GA
13,235,Georgia,Pulaski County,2000,9588,GA
13,237,Georgia,Putnam County,2000,18812,GA
13,239,Georgia,Quitman County,2000,2598,GA
13,241,Georgia,Rabun County,2000,15050,GA
