Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator,Death_per_cap,Imputed_death_per_cap
2010,WA,Spokane County,75.0,471221.0,47250.0,both,0,WA-Spokane County,0.00015916098815630034,0.00015916098815630034
2010,WI,Dane County,51.0,488073.0,60519.0,both,0,WI-Dane County,0.00010449256566128428,0.00010449256566128428
2010,WI,Milwaukee County,164.0,947735.0,43215.0,both,0,WI-Milwaukee County,0.0001730441526376044,0.0001730441526376044
2011,AL,Jefferson County,109.0,658175.0,45244.0,both,0,AL-Jefferson County,0.00016560945037414062,0.00016560945037414062
2011,AL,Mobile County,43.0,413126.0,40996.0,both,0,AL-Mobile County,0.000104084468176779,0.000104084468176779
2011,AZ,Maricopa County,655.0,3875371.0,55054.0,both,0,AZ-Maricopa County,0.00016901607613825875,0.00016901607613825875
2011,AZ,Pima County,184.0,988500.0,45521.0,both,0,AZ-Pima County,0.00018614061709661104,0.00018614061709661104
2011,CA,Alameda County,167.0,1530893.0,69384.0,both,0,CA-Alameda County,0.00010908665726474678,0.00010908665726474678
2011,CA,Contra Costa County,122.0,1065361.0,78385.0,both,0,CA-Contra Costa County,0.00011451517372984369,0.00011451517372984369
2011,CA,Fresno County,89.0,939251.0,46430.0,both,0,CA-Fresno County,9.475635373292124e-05,9.475635373292124e-05
2011,CA,Kern County,145.0,848651.0,47089.0,both,0,CA-Kern County,0.00017085939921121875,0.00017085939921121875
2011,CA,Los Angeles County,706.0,9873700.0,55476.0,both,0,CA-Los Angeles County,7.150308395029219e-05,7.150308395029219e-05
2011,CA,Monterey County,37.0,420379.0,59271.0,both,0,CA-Monterey County,8.801581430090466e-05,8.801581430090466e-05
2011,CA,Orange County,319.0,3050199.0,74344.0,both,0,CA-Orange County,0.0001045833403000919,0.0001045833403000919
2011,CA,Riverside County,252.0,2233840.0,57768.0,both,0,CA-Riverside County,0.00011281022812735021,0.00011281022812735021
2011,CA,Sacramento County,232.0,1433712.0,56439.0,both,0,CA-Sacramento County,0.0001618177151338623,0.0001618177151338623
2011,CA,San Bernardino County,190.0,2060596.0,55845.0,both,0,CA-San Bernardino County,9.220633253680003e-05,9.220633253680003e-05
2011,CA,San Diego County,421.0,3137236.0,63069.0,both,0,CA-San Diego County,0.0001341945585222151,0.0001341945585222151
2011,CA,San Francisco County,204.0,815694.0,71304.0,both,0,CA-San Francisco County,0.00025009378516943853,0.00025009378516943853
2011,CA,San Joaquin County,127.0,694265.0,54341.0,both,0,CA-San Joaquin County,0.00018292726840615615,0.00018292726840615615
2011,CA,San Mateo County,66.0,728945.0,85648.0,both,0,CA-San Mateo County,9.05418104246548e-05,9.05418104246548e-05
2011,CA,Santa Barbara County,37.0,425404.0,60078.0,both,0,CA-Santa Barbara County,8.697614502919578e-05,8.697614502919578e-05
2011,CA,Santa Clara County,136.0,1811891.0,86850.0,both,0,CA-Santa Clara County,7.50597028187678e-05,7.50597028187678e-05
2011,CA,Solano County,57.0,416325.0,68409.0,both,0,CA-Solano County,0.00013691226805980904,0.00013691226805980904
2011,CA,Sonoma County,49.0,487231.0,63274.0,both,0,CA-Sonoma County,0.00010056831359252593,0.00010056831359252593
2011,CA,Stanislaus County,82.0,517515.0,51094.0,both,0,CA-Stanislaus County,0.00015844951354067032,0.00015844951354067032
2011,CA,Tulare County,31.0,446709.0,43851.0,both,0,CA-Tulare County,6.939640795238063e-05,6.939640795238063e-05
2011,CA,Ventura County,109.0,829908.0,75348.0,both,0,CA-Ventura County,0.00013133985935790473,0.00013133985935790473
2011,CO,Adams County,88.0,452209.0,54666.0,both,0,CO-Adams County,0.00019460028438177923,0.00019460028438177923
2011,CO,Arapahoe County,72.0,586433.0,58719.0,both,0,CO-Arapahoe County,0.00012277617391927124,0.00012277617391927124
2011,CO,Denver County,163.0,620250.0,45501.0,both,0,CO-Denver County,0.00026279725916968967,0.00026279725916968967
2011,CO,El Paso County,94.0,637376.0,56268.0,both,0,CO-El Paso County,0.0001474796666331961,0.0001474796666331961
2011,CO,Jefferson County,72.0,540582.0,66075.0,both,0,CO-Jefferson County,0.00013318978434354086,0.00013318978434354086
2011,CT,Fairfield County,61.0,928099.0,81268.0,both,0,CT-Fairfield County,6.572574693001502e-05,6.572574693001502e-05
2011,CT,Hartford County,91.0,896900.0,62590.0,both,0,CT-Hartford County,0.0001014605864644888,0.0001014605864644888
2011,CT,New Haven County,127.0,863974.0,61114.0,both,0,CT-New Haven County,0.00014699516420633028,0.00014699516420633028
2011,DE,New Castle County,82.0,542031.0,62474.0,both,0,DE-New Castle County,0.0001512828602054126,0.0001512828602054126
2011,FL,Brevard County,123.0,544442.0,49523.0,both,0,FL-Brevard County,0.0002259193816788565,0.0002259193816788565
2011,FL,Broward County,233.0,1787096.0,51694.0,both,0,FL-Broward County,0.00013037911785376946,0.00013037911785376946
2011,FL,Duval County,147.0,872483.0,49463.0,both,0,FL-Duval County,0.00016848465815379784,0.00016848465815379784
2011,FL,Hillsborough County,242.0,1255639.0,49536.0,both,0,FL-Hillsborough County,0.00019273055392513293,0.00019273055392513293
2011,FL,Lee County,96.0,631198.0,50014.0,both,0,FL-Lee County,0.00015209173666583226,0.00015209173666583226
2011,FL,Miami-Dade County,133.0,2544511.0,43605.0,both,0,FL-Miami-Dade County,5.226937513730536e-05,5.226937513730536e-05
2011,FL,Orange County,148.0,1170699.0,50138.0,both,0,FL-Orange County,0.00012642019853096313,0.00012642019853096313
2011,FL,Palm Beach County,203.0,1336875.0,53242.0,both,0,FL-Palm Beach County,0.00015184665731650304,0.00015184665731650304
2011,FL,Pasco County,147.0,466529.0,44228.0,both,0,FL-Pasco County,0.0003150929524209642,0.0003150929524209642
2011,FL,Pinellas County,244.0,918574.0,45258.0,both,0,FL-Pinellas County,0.0002656291164348218,0.0002656291164348218
2011,FL,Polk County,112.0,610026.0,43946.0,both,0,FL-Polk County,0.00018359873185733066,0.00018359873185733066
2011,FL,Seminole County,60.0,426382.0,58971.0,both,0,FL-Seminole County,0.0001407188858816742,0.0001407188858816742
2011,FL,Volusia County,89.0,494558.0,44400.0,both,0,FL-Volusia County,0.0001799586701660877,0.0001799586701660877
2011,GA,Cobb County,65.0,696629.0,65522.0,both,0,GA-Cobb County,9.330648020682459e-05,9.330648020682459e-05
2011,GA,DeKalb County,44.0,698496.0,51349.0,both,0,GA-DeKalb County,6.299248671431189e-05,6.299248671431189e-05
2011,GA,Fulton County,95.0,947582.0,56709.0,both,0,GA-Fulton County,0.00010025517580536566,0.00010025517580536566
2011,GA,Gwinnett County,45.0,822407.0,63219.0,both,0,GA-Gwinnett County,5.471743309577861e-05,5.471743309577861e-05
2011,HI,Honolulu County,115.0,967510.0,70093.0,both,0,HI-Honolulu County,0.0001188618205496584,0.0001188618205496584
2011,IA,Polk County,52.0,438783.0,56094.0,both,0,IA-Polk County,0.00011850960497558018,0.00011850960497558018
2011,IL,Cook County,516.0,5219636.0,53942.0,both,0,IL-Cook County,9.885746822192199e-05,9.885746822192199e-05
2011,IL,DuPage County,86.0,924866.0,76581.0,both,0,IL-DuPage County,9.29864434415364e-05,9.29864434415364e-05
2011,IL,Kane County,43.0,519091.0,67767.0,both,0,IL-Kane County,8.283711333850905e-05,8.283711333850905e-05
2011,IL,Lake County,82.0,701652.0,78948.0,both,0,IL-Lake County,0.00011686705090272671,0.00011686705090272671
2011,IL,Will County,68.0,680813.0,75906.0,both,0,IL-Will County,9.98805839488964e-05,9.98805839488964e-05
2011,IN,Lake County,21.0,495035.0,48723.0,both,0,IN-Lake County,4.242124294241821e-05,4.242124294241821e-05
2011,IN,Marion County,156.0,911294.0,43541.0,both,0,IN-Marion County,0.00017118514990771365,0.00017118514990771365
2011,KS,Johnson County,39.0,553034.0,73733.0,both,0,KS-Johnson County,7.052007652332406e-05,7.052007652332406e-05
2011,KS,Sedgwick County,45.0,501051.0,47848.0,both,0,KS-Sedgwick County,8.981121682223966e-05,8.981121682223966e-05
2011,KY,Jefferson County,129.0,746458.0,45352.0,both,0,KY-Jefferson County,0.00017281615308563912,0.00017281615308563912
2011,LA,East Baton Rouge Parish,24.0,441627.0,46179.0,both,0,LA-East Baton Rouge Parish,5.434450339313493e-05,5.434450339313493e-05
2011,LA,Jefferson Parish,80.0,434133.0,48175.0,both,0,LA-Jefferson Parish,0.00018427532576422432,0.00018427532576422432
2011,MA,Bristol County,125.0,549355.0,54955.0,both,0,MA-Bristol County,0.0002275395691310719,0.0002275395691310719
2011,MA,Essex County,82.0,751553.0,64153.0,both,0,MA-Essex County,0.00010910740825996304,0.00010910740825996304
2011,MA,Hampden County,54.0,466191.0,47724.0,both,0,MA-Hampden County,0.00011583235197590687,0.00011583235197590687
2011,MA,Middlesex County,198.0,1524996.0,77377.0,both,0,MA-Middlesex County,0.00012983640612827837,0.00012983640612827837
2011,MA,Norfolk County,80.0,677823.0,81027.0,both,0,MA-Norfolk County,0.00011802491210832327,0.00011802491210832327
2011,MA,Plymouth County,79.0,498212.0,73131.0,both,0,MA-Plymouth County,0.00015856703571973376,0.00015856703571973376
2011,MA,Suffolk County,117.0,737285.0,50597.0,both,0,MA-Suffolk County,0.00015869033006232324,0.00015869033006232324
2011,MA,Worcester County,128.0,804107.0,64152.0,both,0,MA-Worcester County,0.00015918279532450282,0.00015918279532450282
2011,MD,Anne Arundel County,72.0,544863.0,83456.0,both,0,MD-Anne Arundel County,0.00013214330941906498,0.00013214330941906498
2011,MD,Baltimore County,112.0,813021.0,63959.0,both,0,MD-Baltimore County,0.00013775781929372058,0.00013775781929372058
2011,MD,Baltimore city,134.0,620493.0,,both,0,MD-Baltimore city,0.00021595731136370597,0.00021595731136370597
2011,MD,Montgomery County,44.0,991325.0,93373.0,both,0,MD-Montgomery County,4.43850402239427e-05,4.43850402239427e-05
2011,MD,Prince George's County,42.0,874594.0,71260.0,both,0,MD-Prince George's County,4.80222823390053e-05,4.80222823390053e-05
2011,MI,Genesee County,80.0,422062.0,43483.0,both,0,MI-Genesee County,0.00018954561178215524,0.00018954561178215524
2011,MI,Kent County,48.0,608543.0,49532.0,both,0,MI-Kent County,7.887692406288462e-05,7.887692406288462e-05
2011,MI,Macomb County,234.0,844159.0,53996.0,both,0,MI-Macomb County,0.0002771989637023357,0.0002771989637023357
2011,MI,Oakland County,197.0,1212718.0,66390.0,both,0,MI-Oakland County,0.00016244502019430732,0.00016244502019430732
2011,MI,Wayne County,356.0,1803003.0,42241.0,both,0,MI-Wayne County,0.00019744836808369148,0.00019744836808369148
2011,MN,Hennepin County,123.0,1169581.0,61328.0,both,0,MN-Hennepin County,0.00010516586709257417,0.00010516586709257417
2011,MN,Ramsey County,73.0,515856.0,51915.0,both,0,MN-Ramsey County,0.00014151236003846036,0.00014151236003846036
2011,MO,Jackson County,101.0,675644.0,46252.0,both,0,MO-Jackson County,0.00014948700795093273,0.00014948700795093273
2011,MO,St. Louis County,161.0,1000147.0,57561.0,both,0,MO-St. Louis County,0.00016097633647853764,0.00016097633647853764
2011,NC,Guilford County,43.0,495022.0,45676.0,both,0,NC-Guilford County,8.686482620974422e-05,8.686482620974422e-05
2011,NC,Mecklenburg County,79.0,944015.0,55294.0,both,0,NC-Mecklenburg County,8.368511093573725e-05,8.368511093573725e-05
2011,NC,Wake County,58.0,928905.0,63770.0,both,0,NC-Wake County,6.243910841259332e-05,6.243910841259332e-05
2011,NE,Douglas County,46.0,524264.0,51878.0,both,0,NE-Douglas County,8.774205362183938e-05,8.774205362183938e-05
2011,NH,Hillsborough County,67.0,402832.0,69321.0,both,0,NH-Hillsborough County,0.0001663224371450133,0.0001663224371450133
2011,NJ,Bergen County,69.0,912024.0,81708.0,both,0,NJ-Bergen County,7.565590379200548e-05,7.565590379200548e-05
2011,NJ,Burlington County,49.0,450250.0,76258.0,both,0,NJ-Burlington County,0.00010882842865074959,0.00010882842865074959
2011,NJ,Camden County,118.0,512610.0,60976.0,both,0,NJ-Camden County,0.00023019449484013187,0.00023019449484013187
2011,NJ,Essex County,61.0,785576.0,55125.0,both,0,NJ-Essex County,7.765003004165096e-05,7.765003004165096e-05
2011,NJ,Hudson County,43.0,645658.0,55275.0,both,0,NJ-Hudson County,6.659872564112889e-05,6.659872564112889e-05
2011,NJ,Middlesex County,72.0,815253.0,77615.0,both,0,NJ-Middlesex County,8.831614235090212e-05,8.831614235090212e-05
